sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J)
t3-1,6000.0,2.0,0.0,0.001,86400.0,655.0,177.0,231.0,478.0,13024.8,3362.0,48101.5,9.9,18.15,45256.2,2673.0,3.52,140.696
t6,6000.0,2.0,0.0,0.001,86400.0,657.0,183.0,236.0,474.0,10434.8,3476.0,48106.3,12.7211,18.15,45248.4,2673.0,5.28,148.778
t7-2,6000.0,2.0,0.0,0.001,86400.0,656.0,460.0,479.0,196.0,26468.8,8739.0,48112.8,12.5203,27.225,45240.5,2673.0,7.04,152.476
t9,6000.0,2.0,0.0,0.001,86400.0,653.0,320.0,357.0,333.0,21193.0,6079.0,48111.2,11.275,18.15,45253.5,2673.0,3.52,151.842
m4,6000.0,2.0,0.0,0.001,86400.0,652.0,176.0,230.0,476.0,11889.5,3343.0,48098.7,11.275,18.15,45253.5,2673.0,3.52,139.338
cc8,6000.0,2.0,0.0,0.001,86400.0,655.0,256.0,299.0,399.0,18742.5,4863.0,48101.5,11.55,9.075,45261.2,2673.0,1.76,145.0
cc7,6000.0,2.0,0.0,0.001,86400.0,653.0,232.0,278.0,421.0,16625.1,4407.0,48106.7,9.9,18.15,45256.2,2673.0,3.52,145.922
cc6,6000.0,2.0,0.0,0.001,86400.0,649.0,353.0,386.0,296.0,15763.6,6706.0,48106.3,11.275,18.15,45253.5,2673.0,3.52,146.938
cc3,6000.0,2.0,0.0,0.001,86400.0,649.0,398.0,425.0,251.0,20880.6,7561.0,48105.7,12.65,18.15,45250.7,2673.0,3.52,147.709
ec5,6000.0,2.0,0.0,0.001,86400.0,653.0,102.0,164.0,551.0,7845.28,1937.0,48102.0,11.55,9.075,45261.2,2673.0,1.76,145.437
ec6,6000.0,2.0,0.0,0.001,86400.0,657.0,380.0,405.0,277.0,26986.2,7219.0,48106.5,11.0,18.15,45251.8,2673.0,5.28,147.221
t1-1,6000.0,2.0,0.0,0.001,86400.0,658.0,293.0,332.0,365.0,19950.8,5566.0,48112.4,12.4325,27.225,45240.7,2673.0,7.04,151.976
t2-2,6000.0,2.0,0.0,0.001,86400.0,657.0,528.0,537.0,129.0,34799.4,10031.0,48112.0,13.75,18.15,45246.3,2673.0,5.28,155.549
ec4,6000.0,2.0,0.0,0.001,86400.0,653.0,354.0,384.0,299.0,20890.4,6725.0,48108.5,12.65,18.15,45250.7,2673.0,3.52,150.471
t3-2,6000.0,2.0,0.0,0.001,86400.0,657.0,251.0,296.0,406.0,15013.4,4768.0,48086.2,32.5256,36.3,45192.2,2673.0,8.8,143.307
t7-1,6000.0,2.0,0.0,0.001,86400.0,650.0,327.0,360.0,323.0,20655.0,6212.0,48103.4,12.65,18.15,45250.7,2673.0,3.52,145.336
t1-2,3500.0,0.0,1.0,0.3,86400.0,649.0,595.0,598.0,54.0,22092.2,11304.0,48092.6,35.5144,27.225,45194.5,2673.0,7.04,155.319
t4,3500.0,0.0,1.0,0.3,86400.0,660.0,569.0,575.0,91.0,41385.9,10810.0,48109.6,17.9016,18.15,45238.0,2673.0,5.28,157.29
t7-2,3500.0,0.0,1.0,0.3,86400.0,651.0,389.0,414.0,262.0,16705.4,7390.0,48087.2,35.5733,27.225,45194.4,2673.0,7.04,149.973
t12-5,3500.0,0.0,1.0,0.3,86400.0,641.0,638.0,638.0,3.0,5767.69,12121.0,48092.3,35.5067,27.225,45194.5,2673.0,7.04,155.022
m16,3500.0,0.0,1.0,0.3,86400.0,640.0,638.0,638.0,2.0,3783.38,12121.0,48091.7,35.5224,27.225,45194.5,2673.0,7.04,154.391
t13-1,3500.0,0.0,1.0,0.3,86400.0,640.0,638.0,638.0,2.0,3783.38,12121.0,48091.7,35.5224,27.225,45194.5,2673.0,7.04,154.391
t8-1,3500.0,0.0,1.0,0.3,86400.0,640.0,638.0,638.0,2.0,3804.38,12121.0,48092.8,35.5224,27.225,45194.5,2673.0,7.04,155.557
cc8,3500.0,0.0,1.0,0.3,86400.0,656.0,335.0,367.0,321.0,22214.9,6364.0,48094.8,35.3695,27.225,45194.8,2673.0,7.04,157.372
cc7,3500.0,0.0,1.0,0.3,86400.0,656.0,398.0,426.0,258.0,22006.6,7561.0,48099.4,32.5073,36.3,45192.3,2673.0,8.8,156.46
cc2,3500.0,0.0,1.0,0.3,86400.0,656.0,305.0,339.0,351.0,25185.8,5794.0,48109.4,11.55,9.075,45261.2,2673.0,1.76,152.833
